,Date,Open,High,Low,Close,AdjClose,Volume
0,2020-07-20,489.14,504.5,484.2,502.41,502.41,11932700.0
1,2020-07-17,494.87,503.59,484.14,492.99,492.99,24991400.0
2,2020-07-16,526.48,535.54,504.36,527.39,527.39,24499000.0
3,2020-07-15,516.3,529.0,510.18,523.26,523.26,10066700.0
4,2020-07-14,517.08,525.5,490.49,524.88,524.88,15083300.0
5,2020-07-13,567.98,575.37,520.96,525.5,525.5,18399000.0
6,2020-07-10,519.73,555.88,511.28,548.73,548.73,21605600.0
7,2020-07-09,508.4,510.0,495.78,507.76,507.76,5840500.0
8,2020-07-08,498.58,505.1,493.81,502.78,502.78,5691700.0
9,2020-07-07,497.31,504.82,490.83,493.16,493.16,5669900.0
10,2020-07-06,480.77,499.5,479.8,493.81,493.81,7839000.0
11,2020-07-02,485.64,492.28,475.53,476.89,476.89,6351500.0
12,2020-07-01,454.0,488.23,454.0,485.64,485.64,9705900.0
13,2020-06-30,450.02,457.59,447.0,455.04,455.04,4198500.0
14,2020-06-29,445.23,447.67,432.14,447.24,447.24,4844000.0
15,2020-06-26,466.39,468.03,442.24,443.4,443.4,6804700.0
16,2020-06-25,458.86,467.01,454.0,465.91,465.91,4134500.0
17,2020-06-24,468.54,472.36,454.0,457.85,457.85,4826200.0
18,2020-06-23,466.5,474.01,464.5,466.26,466.26,5948400.0
19,2020-06-22,455.01,468.59,454.21,468.04,468.04,6272100.0
20,2020-06-19,449.12,453.97,445.6,453.72,453.72,5934500.0
21,2020-06-18,448.73,452.76,442.8,449.87,449.87,4277600.0
22,2020-06-17,441.82,450.46,439.22,447.77,447.77,6522400.0
23,2020-06-16,425.76,437.96,425.18,436.13,436.13,5507900.0
24,2020-06-15,421.4,426.49,415.42,425.5,425.5,4467900.0
25,2020-06-12,429.0,434.06,412.45,418.07,418.07,6457400.0
26,2020-06-11,428.2,445.57,424.16,425.56,425.56,7462900.0
